From Timestamp,E_PV_HSS,E_PV_S2_2,E_PV_Oth
14-05-2017 07:10,361215.2899999999,142220.48,657872.5099999999
14-05-2017 07:15,361215.2899999999,142220.49000000002,657872.5499999999
14-05-2017 07:20,361215.38,142220.53999999998,657872.8400000001
14-05-2017 07:25,361215.57999999996,142220.61000000002,657873.33
14-05-2017 07:30,361215.84,142220.71,657874.0099999998
14-05-2017 07:35,361216.26000000007,142220.86,657874.9299999999
14-05-2017 07:40,361216.95000000007,142221.09000000003,657876.5100000001
14-05-2017 07:45,361217.73,142221.38,657878.35
14-05-2017 07:50,361218.92,142221.69,657880.9699999999
14-05-2017 07:55,361220.5,142222.19,657884.9200000002
14-05-2017 08:00,361221.76000000007,142222.52999999997,657887.3800000001
14-05-2017 08:05,361222.83999999997,142222.91,657889.7400000001
14-05-2017 08:10,361225.18999999994,142223.47,657894.76
