From Timestamp,E_PV_Res,E_PV_Oth
14-05-2017 12:15,246085.76,1453842.2699999998
14-05-2017 12:20,246088.1,1453847.8599999999
14-05-2017 12:25,246090.41,1453854.6799999997
14-05-2017 12:30,246094.19000000003,1453861.6699999997
14-05-2017 12:35,246101.37999999998,1453874.4499999997
14-05-2017 12:40,246103.99,1453880.4399999997
14-05-2017 12:45,246108.52999999997,1453889.3600000003
14-05-2017 12:50,246116.13,1453904.9599999995
14-05-2017 12:55,246121.4,1453918.5700000003
14-05-2017 13:00,246129.94,1453938.0000000002
14-05-2017 13:05,246136.50999999995,1453964.38
14-05-2017 13:10,246144.45999999996,1453986.86
14-05-2017 13:15,246157.22999999995,1454020.5599999998
14-05-2017 13:20,246163.2,1454038.7999999998
14-05-2017 13:25,246168.10999999996,1454055.7499999998
14-05-2017 13:30,246175.96,1454076.8600000003
14-05-2017 13:35,246180.81,1454094.69
14-05-2017 13:40,246186.99,1454113.4999999995
14-05-2017 13:45,246188.91999999998,1454120.2500000002
14-05-2017 13:50,246190.87999999998,1454127.1099999999
14-05-2017 13:55,246193.04000000004,1454134.6100000003
14-05-2017 14:00,246195.08999999997,1454142.01
14-05-2017 14:05,246197.25999999998,1454149.6799999995
14-05-2017 14:10,246199.6,1454158.22
14-05-2017 14:15,246201.94999999995,1454166.48
14-05-2017 14:20,246204.34000000003,1454175.14
14-05-2017 14:25,246207.15000000002,1454185.1600000001
14-05-2017 14:30,246210.09,1454195.5799999996
14-05-2017 14:35,246212.63000000003,1454204.59
14-05-2017 14:40,246214.62000000005,1454211.59
14-05-2017 14:45,246216.03999999998,1454216.6000000003
14-05-2017 14:50,246217.14999999997,1454220.5899999999
14-05-2017 14:55,246218.21000000002,1454224.3900000001
14-05-2017 15:00,246219.16,1454227.78
14-05-2017 15:05,246220.21000000008,1454231.6700000002
14-05-2017 15:10,246221.46,1454236.06
14-05-2017 15:15,246222.59999999998,1454240.1099999999
14-05-2017 15:20,246223.37,1454243.03
14-05-2017 15:25,246223.94,1454245.08
14-05-2017 15:30,246224.57,1454247.32
14-05-2017 15:35,246225.21,1454249.66
14-05-2017 15:40,246225.85,1454251.8899999997
14-05-2017 15:45,246226.57,1454254.3699999996
14-05-2017 15:50,246227.83000000002,1454258.6400000006
14-05-2017 15:55,246229.16999999995,1454263.28
14-05-2017 16:00,246230.51,1454267.87
14-05-2017 16:05,246231.82000000004,1454272.53
14-05-2017 16:10,246233.30000000002,1454277.69
14-05-2017 16:15,246235.08000000005,1454284.2900000003
14-05-2017 16:20,246237.39999999997,1454292.4200000002
14-05-2017 16:25,246240.91,1454304.38
14-05-2017 16:30,246243.56,1454314.3500000003
14-05-2017 16:35,246248.28,1454330.18
14-05-2017 16:40,246253.47999999998,1454348.0799999998
14-05-2017 16:45,246258.29,1454364.7199999997
14-05-2017 16:50,246263.69999999998,1454382.6199999996
14-05-2017 16:55,246267.92,1454397.8599999999
14-05-2017 17:00,246270.69999999998,1454410.34
14-05-2017 17:05,246273.90000000002,1454420.5999999999
14-05-2017 17:10,246276.44,1454429.9900000005
14-05-2017 17:15,246277.85,1454435.1500000004
14-05-2017 17:20,246279.15,1454439.88
14-05-2017 17:25,246280.78000000003,1454445.1099999999
14-05-2017 17:30,246282.52000000002,1454450.7699999996
14-05-2017 17:35,246285.25,1454459.0
14-05-2017 17:40,246287.90999999995,1454466.6999999997
14-05-2017 17:45,246290.42,1454473.9999999995
14-05-2017 17:50,246292.29,1454479.7299999997
14-05-2017 17:55,246292.86,1454481.9400000002
14-05-2017 18:00,246292.96000000002,1454482.59
14-05-2017 18:05,246293.02000000005,1454482.9000000001
14-05-2017 18:10,246293.12000000002,1454483.5200000003
14-05-2017 18:15,246293.22,1454483.81
14-05-2017 18:20,246293.26,1454484.1199999999
14-05-2017 18:25,246293.31,1454484.4600000002
14-05-2017 18:30,246293.39,1454484.8200000003
14-05-2017 18:35,246293.39,1454484.9600000004
14-05-2017 18:40,246293.39,1454485.0600000003
14-05-2017 18:45,246293.40000000002,1454485.1800000004
14-05-2017 18:50,246293.40000000002,1454485.2200000004
14-05-2017 18:55,246293.40000000002,1454485.2400000002
14-05-2017 19:00,246293.40000000002,1454485.2400000002
14-05-2017 19:05,246293.40000000002,1454485.2400000002
14-05-2017 19:10,246293.40000000002,1454485.2400000002
14-05-2017 19:15,246293.40000000002,1454485.2400000002
14-05-2017 19:20,246293.40000000002,1454485.2400000002
14-05-2017 19:25,246293.40000000002,1454485.2400000002
14-05-2017 19:30,246293.40000000002,1454485.2400000002
14-05-2017 19:35,246293.40000000002,1454485.2400000002
14-05-2017 19:40,246293.40000000002,1454485.2400000002
14-05-2017 19:45,246293.40000000002,1454485.2400000002
14-05-2017 19:50,246293.40000000002,1454485.2400000002
14-05-2017 19:55,246293.40000000002,1454485.2400000002
14-05-2017 20:00,246293.40000000002,1454485.2400000002
14-05-2017 20:05,246293.40000000002,1454485.2400000002
14-05-2017 20:10,246293.40000000002,1454485.2400000002
14-05-2017 20:15,246293.40000000002,1454485.2400000002
14-05-2017 20:20,246293.40000000002,1454485.2400000002
14-05-2017 20:25,246293.40000000002,1454485.2400000002
14-05-2017 20:30,246293.40000000002,1454485.2400000002
14-05-2017 20:35,246293.40000000002,1454485.2400000002
14-05-2017 20:40,246293.40000000002,1454485.2400000002
14-05-2017 20:45,246293.40000000002,1454485.2400000002
14-05-2017 20:50,246293.40000000002,1454485.2400000002
14-05-2017 20:55,246293.40000000002,1454485.2400000002
14-05-2017 21:00,246293.40000000002,1454485.2400000002
14-05-2017 21:05,246293.40000000002,1454485.2400000002
14-05-2017 21:10,246293.40000000002,1454485.2400000002
14-05-2017 21:15,246293.40000000002,1454485.2400000002
