From Timestamp,E_PV_N1,E_PV_N3,E_PV_N4,E_PV_S1,E_PV_S2,E_PV_S3,E_PV_Oth
14-05-2017 07:00,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 07:05,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 07:10,341927.86,340969.66000000003,311173.69999999995,318186.12,326108.83999999997,283215.75999999995,768181.5099999999
14-05-2017 07:15,341927.89999999997,340969.7,311173.72,318186.14,326108.87,283215.76999999996,768181.58
14-05-2017 07:20,341928.02,340969.77,311173.81,318186.21,326108.94000000006,283215.84,768181.7899999998
14-05-2017 07:25,341928.12,340969.88,311173.94,318186.33999999997,326109.05999999994,283215.97,768182.0499999999
14-05-2017 07:30,341928.29,340970.04,311174.11,318186.49,326109.23,283216.13,768182.43
14-05-2017 07:35,341928.53,340970.3,311174.37999999995,318186.71,326109.45,283216.35000000003,768182.9800000001
14-05-2017 07:40,341928.93,340970.72,311174.81,318187.09,326109.82,283216.74,768183.9100000001
14-05-2017 07:45,341929.38,340971.21,311175.36000000004,318187.50999999995,326110.25999999995,283217.16000000003,768185.01
14-05-2017 07:50,341929.95,340971.86,311176.04,318188.08,326110.86000000004,283217.79000000004,768186.35
14-05-2017 07:55,341930.67,340972.76,311177.04,318188.9,326111.75,283218.66000000003,768188.25
14-05-2017 08:00,341931.2,340973.5,311177.78,318189.41,326112.30999999994,283219.29,768189.63
14-05-2017 08:05,341931.73,340974.13999999996,311178.46,318189.93,326112.87000000005,283219.88,768190.9500000001
14-05-2017 08:10,341932.55999999994,340975.35000000003,311179.72000000003,318190.88,326113.94000000006,283221.15,768193.3400000001
14-05-2017 08:15,341933.58,340977.14,311181.57,318191.82999999996,326115.05,283222.58999999997,768196.4599999998
14-05-2017 08:20,341934.51,340978.64999999997,311183.17,318192.99,326116.42000000004,283224.43,768199.3299999998
14-05-2017 08:25,341935.18,340979.99,311184.67,318193.87,326117.51,283225.75,768201.6399999999
14-05-2017 08:30,341935.81999999995,340981.21,311186.05000000005,318194.85,326118.64999999997,283227.0,768203.8
14-05-2017 08:35,341936.36,340981.77999999997,311186.64,318195.44,326119.25999999995,283227.62,768205.11
14-05-2017 08:40,341936.86,340982.28,311187.19999999995,318195.97,326119.83999999997,283228.17,768206.3000000002
14-05-2017 08:45,341937.38,340982.75,311187.7,318196.49,326120.41000000003,283228.65,768207.4999999999
14-05-2017 08:50,341938.2,340983.52,311188.50999999995,318197.23,326121.17999999993,283229.42000000004,768209.3699999999
14-05-2017 08:55,341939.04,340984.62,311189.67,318198.12,326122.14,283230.62,768211.6
14-05-2017 09:00,341940.56000000006,340986.63,311191.69,318199.91000000003,326123.87,283232.59,768215.7500000001
14-05-2017 09:05,341943.27999999997,340989.21,311194.35,318201.37000000005,326125.43,283234.32,768221.6800000002
14-05-2017 09:10,341944.67000000004,340991.01,311195.97,318202.42999999993,326126.49000000005,283235.51,768224.8900000001
14-05-2017 09:15,341946.46,340993.0,311197.92,318204.24,326128.54000000004,283237.22,768229.2200000001
14-05-2017 09:20,341951.38999999996,340997.51,311202.49,318209.01,326132.87000000005,283237.39,768239.5599999999
14-05-2017 09:25,341953.01,340999.58,311204.58999999997,318210.58,326134.57999999996,283237.39,768243.74
