From Timestamp,E_PV_SCI,E_PV_SPMS,E_PV_Oth
14-05-2017 18:35,232690.59000000003,852887.34,1184785.0100000002
14-05-2017 18:40,232690.61,852887.4199999998,1184785.12
14-05-2017 18:45,232690.62,852887.4399999998,1184785.2700000003
14-05-2017 18:50,232690.62,852887.4599999998,1184785.37
14-05-2017 18:55,232690.62,852887.4599999998,1184785.37
14-05-2017 19:00,232690.62,852887.4599999998,1184785.37
14-05-2017 19:05,232690.62,852887.4599999998,1184785.37
14-05-2017 19:10,232690.62,852887.4599999998,1184785.37
14-05-2017 19:15,232690.62,852887.4599999998,1184785.37
14-05-2017 19:20,232690.62,852887.4599999998,1184785.37
14-05-2017 19:25,232690.62,852887.4599999998,1184785.37
14-05-2017 19:30,232690.62,852887.4599999998,1184785.37
14-05-2017 19:35,232690.62,852887.4599999998,1184785.37
14-05-2017 19:40,232690.62,852887.4599999998,1184785.37
14-05-2017 19:45,232690.62,852887.4599999998,1184785.37
14-05-2017 19:50,232690.62,852887.4599999998,1184785.37
14-05-2017 19:55,232690.62,852887.4599999998,1184785.37
14-05-2017 20:00,232690.62,852887.4599999998,1184785.37
14-05-2017 20:05,232690.62,852887.4599999998,1184785.37
14-05-2017 20:10,232690.62,852887.4599999998,1184785.37
14-05-2017 20:15,232690.62,852887.4599999998,1184785.37
14-05-2017 20:20,232690.62,852887.4599999998,1184785.37
14-05-2017 20:25,232690.62,852887.4599999998,1184785.37
14-05-2017 20:30,232690.62,852887.4599999998,1184785.37
14-05-2017 20:35,232690.62,852887.4599999998,1184785.37
14-05-2017 20:40,232690.62,852887.4599999998,1184785.37
14-05-2017 20:45,232690.62,852887.4599999998,1184785.37
14-05-2017 20:50,232690.62,852887.4599999998,1184785.37
14-05-2017 20:55,232690.62,852887.4599999998,1184785.37
14-05-2017 21:00,232690.62,852887.4599999998,1184785.37
14-05-2017 21:05,232690.62,852887.4599999998,1184785.37
14-05-2017 21:10,232690.62,852887.4599999998,1184785.37
14-05-2017 21:15,232690.62,852887.4599999998,1184785.37
14-05-2017 21:20,232690.62,852887.4599999998,1184785.37
14-05-2017 21:25,232690.62,852887.4599999998,1184785.37
14-05-2017 21:30,232690.62,852887.4599999998,1184785.37
14-05-2017 21:35,232690.62,852887.4599999998,1184785.37
14-05-2017 21:40,232690.62,852887.4599999998,1184785.37
14-05-2017 21:45,232690.62,852887.4599999998,1184785.37
14-05-2017 21:50,232690.62,852887.4599999998,1184785.37
14-05-2017 21:55,232690.62,852887.4599999998,1184785.37
14-05-2017 22:00,232690.62,852887.4599999998,1184785.37
14-05-2017 22:05,232690.62,852887.4599999998,1184785.37
14-05-2017 22:10,232690.62,852887.4599999998,1184785.37
14-05-2017 22:15,232690.62,852887.4599999998,1184785.37
14-05-2017 22:20,232690.62,852887.4599999998,1184785.37
14-05-2017 22:25,232690.62,852887.4599999998,1184785.37
14-05-2017 22:30,232690.62,852887.4599999998,1184785.37
14-05-2017 22:35,232690.62,852887.4599999998,1184785.37
14-05-2017 22:40,232690.62,852887.4599999998,1184785.37
14-05-2017 22:45,232690.62,852887.4599999998,1184785.37
14-05-2017 22:50,232690.62,852887.4599999998,1184785.37
14-05-2017 22:55,232690.62,852887.4599999998,1184785.37
14-05-2017 23:00,232690.62,852887.4599999998,1184785.37
14-05-2017 23:05,232690.62,852887.4599999998,1184785.37
14-05-2017 23:10,232690.62,852887.4599999998,1184785.37
14-05-2017 23:15,232690.62,852887.4599999998,1184785.37
14-05-2017 23:20,232690.62,852887.4599999998,1184785.37
14-05-2017 23:25,232690.62,852887.4599999998,1184785.37
14-05-2017 23:30,232690.62,852887.4599999998,1184785.37
14-05-2017 23:35,232690.62,852887.4599999998,1184785.37
14-05-2017 23:40,232690.62,852887.4599999998,1184785.37
14-05-2017 23:45,232690.62,852887.4599999998,1184785.37
14-05-2017 23:50,232690.62,852887.4599999998,1184785.37
14-05-2017 23:55,232690.62,852887.4599999998,1184785.37
